                        Nombre_de_la_prueba: MF1-1:1

  Datos_de_entrada
  b      15.0000     lm      96.0000    hc     15.0000
  fpc      280.000
 tipo_acero: G42RB                                              rho     9.844748E-04
      Datos del acero
  diámetro      núm._de_barras         profundidad
     0.950000         1.00000         7.50000
     0.950000         1.00000         88.5000
 altura_ini_fin_mod      7.50000         88.5000

 datos_estribos

 Criterios_de_iteración
 iter_máx_para_C     1000.00     núm.de_fibras:      2000.00

                 Resultados

                          Criterio_falla_concreto_NO_confinado
  Momento         Carga_axial             eje_Neutro              phi

      2003.67         4.10582         60.0005        2.519795E-06
      1997.68         4.07580         59.9006        2.512814E-06
      1991.73         4.04590         59.8006        2.505873E-06
      1985.79         4.01613         59.7006        2.498970E-06
      1978.15         3.97782         59.6006        2.492104E-06
      1972.27         3.94837         59.5006        2.485277E-06
      1966.42         3.91904         59.4006        2.478487E-06
      1960.58         3.88983         59.3006        2.471733E-06
      1954.77         3.86073         59.2006        2.465016E-06
      1948.98         3.83177         59.1006        2.458336E-06
      1941.56         3.79459         59.0006        2.451692E-06
      1935.83         3.76592         58.9006        2.445084E-06
      1930.12         3.73737         58.8006        2.438511E-06
      1924.43         3.70894         58.7006        2.431973E-06
      1918.76         3.68061         58.6006        2.425471E-06
      1913.12         3.65242         58.5006        2.419003E-06
      1907.49         3.62434         58.4006        2.412569E-06
      1901.89         3.59637         58.3006        2.406170E-06
      1894.74         3.56061         58.2006        2.399804E-06
      1889.19         3.53292         58.1006        2.393472E-06
      1883.66         3.50535         58.0006        2.387174E-06
      1878.15         3.47789         57.9006        2.380908E-06
      1872.67         3.45054         57.8006        2.374675E-06
      1867.20         3.42330         57.7006        2.368475E-06
      1861.76         3.39618         57.6006        2.362307E-06
      1856.33         3.36916         57.5006        2.356172E-06
      1850.93         3.34226         57.4006        2.350067E-06
      1845.54         3.31546         57.3006        2.343995E-06
      1838.71         3.28136         57.2006        2.337954E-06
      1833.38         3.25483         57.1006        2.331944E-06
      1828.06         3.22840         57.0006        2.325964E-06
      1822.77         3.20208         56.9006        2.320015E-06
      1817.49         3.17586         56.8006        2.314097E-06
      1812.24         3.14975         56.7006        2.308209E-06
      1807.00         3.12375         56.6006        2.302350E-06
      1801.79         3.09785         56.5006        2.296522E-06
      1796.59         3.07205         56.4006        2.290722E-06
      1791.41         3.04635         56.3006        2.284952E-06
      1786.25         3.02075         56.2006        2.279211E-06
      1781.12         2.99526         56.1006        2.273499E-06
      1775.99         2.96986         56.0006        2.267815E-06
      1770.89         2.94458         55.9006        2.262160E-06
      1765.81         2.91938         55.8006        2.256533E-06
      1760.75         2.89429         55.7006        2.250933E-06
      1755.70         2.86930         55.6006        2.245361E-06
      1750.68         2.84440         55.5006        2.239817E-06
      1745.66         2.81960         55.4006        2.234301E-06
      1739.38         2.78836         55.3006        2.228811E-06
      1734.42         2.76380         55.2006        2.223348E-06
      1729.47         2.73933         55.1006        2.217912E-06
      1724.54         2.71496         55.0006        2.212503E-06
      1719.63         2.69069         54.9006        2.207119E-06
      1714.74         2.66651         54.8006        2.201762E-06
      1709.87         2.64242         54.7006        2.196431E-06
      1705.01         2.61843         54.6006        2.191126E-06
      1700.18         2.59453         54.5006        2.185846E-06
      1695.35         2.57072         54.4006        2.180591E-06
      1690.55         2.54700         54.3006        2.175362E-06
      1685.76         2.52337         54.2006        2.170158E-06
      1682.19         2.50588         54.1006        2.164979E-06
      1677.42         2.48240         54.0006        2.159824E-06
      1672.68         2.45901         53.9006        2.154694E-06
      1667.96         2.43571         53.8006        2.149588E-06
      1663.25         2.41248         53.7006        2.144506E-06
      1658.55         2.38937         53.6006        2.139448E-06
      1653.88         2.36633         53.5006        2.134414E-06
      1649.22         2.34338         53.4007        2.129404E-06
